datetime,value,occupancy,value2,value3
2019-06-18 04:00:00+00:00,26.5,79,60,21
2019-06-18 03:00:00+00:00,45.5,58,55,27
2019-06-18 02:00:00+00:00,39.8,86,57,49
2019-06-18 01:00:00+00:00,60.1,25,77,17
2019-06-18 00:00:00+00:00,66.2,10,72,73
2019-06-17 23:00:00+00:00,73.3,56,50,13
2019-06-17 22:00:00+00:00,51.0,98,39,8
2019-06-17 21:00:00+00:00,38.3,20,61,68
2019-06-17 20:00:00+00:00,20.5,72,62,91
2019-06-17 19:00:00+00:00,15.2,22,7,15
2019-06-17 18:00:00+00:00,15.4,3,84,63
2019-06-17 17:00:00+00:00,14.9,67,58,94
2019-06-17 16:00:00+00:00,11.9,25,18,66
2019-06-17 15:00:00+00:00,13.1,0,49,23
2019-06-17 14:00:00+00:00,11.5,84,31,55
2019-06-17 13:00:00+00:00,9.6,8,34,53
2019-06-17 12:00:00+00:00,10.1,39,43,43
2019-06-17 11:00:00+00:00,15.2,27,42,53
2019-06-17 10:00:00+00:00,16.0,18,37,94
2019-06-17 09:00:00+00:00,30.4,11,64,14
2019-06-17 08:00:00+00:00,51.6,65,6,42
2019-06-17 07:00:00+00:00,54.4,40,84,39
2019-06-17 06:00:00+00:00,52.3,78,5,68
2019-06-17 05:00:00+00:00,44.8,92,55,39
2019-06-17 04:00:00+00:00,45.7,40,69,80
2019-06-17 03:00:00+00:00,49.1,13,41,30
2019-06-17 02:00:00+00:00,53.1,84,39,81
2019-06-17 01:00:00+00:00,58.8,81,96,48
2019-06-17 00:00:00+00:00,69.3,52,33,14
2019-06-16 23:00:00+00:00,67.3,52,30,27
2019-06-16 22:00:00+00:00,56.6,59,90,92
2019-06-16 21:00:00+00:00,42.7,42,85,82
2019-06-16 20:00:00+00:00,23.3,91,24,15
2019-06-16 19:00:00+00:00,14.4,7,5,58
2019-06-16 18:00:00+00:00,12.3,75,20,28
2019-06-16 17:00:00+00:00,11.8,16,93,38
2019-06-16 16:00:00+00:00,9.2,51,99,72
2019-06-16 15:00:00+00:00,8.4,61,25,95
2019-06-16 14:00:00+00:00,8.1,83,7,39
2019-06-16 13:00:00+00:00,8.7,24,63,38
2019-06-16 12:00:00+00:00,11.2,99,3,37
2019-06-16 11:00:00+00:00,12.9,92,40,27
2019-06-16 10:00:00+00:00,8.7,91,5,40
2019-06-16 09:00:00+00:00,9.4,18,50,65
2019-06-16 08:00:00+00:00,9.9,29,25,1
2019-06-16 07:00:00+00:00,10.2,9,54,5
2019-06-16 06:00:00+00:00,11.6,11,44,75
2019-06-16 05:00:00+00:00,14.0,45,57,31
2019-06-16 04:00:00+00:00,11.7,74,77,92
2019-06-16 03:00:00+00:00,11.2,95,99,72
2019-06-16 02:00:00+00:00,11.4,22,61,88
2019-06-16 01:00:00+00:00,12.8,13,3,99
2019-06-16 00:00:00+00:00,16.5,24,64,95
2019-06-15 23:00:00+00:00,22.6,75,99,48
2019-06-15 22:00:00+00:00,20.1,89,80,27
2019-06-15 21:00:00+00:00,17.2,45,12,63
2019-06-15 20:00:00+00:00,15.2,33,74,37
2019-06-15 19:00:00+00:00,14.2,95,84,51
2019-06-15 18:00:00+00:00,14.0,98,74,91
2019-06-15 17:00:00+00:00,11.1,5,29,75
2019-06-15 16:00:00+00:00,10.7,63,71,23
2019-06-15 15:00:00+00:00,10.5,63,98,62
2019-06-15 14:00:00+00:00,9.6,92,35,77
2019-06-15 13:00:00+00:00,9.0,75,0,12
2019-06-15 12:00:00+00:00,9.4,34,80,85
2019-06-15 11:00:00+00:00,11.1,82,99,87
2019-06-15 10:00:00+00:00,12.1,73,93,93
2019-06-15 09:00:00+00:00,14.0,32,78,77
2019-06-15 08:00:00+00:00,17.6,66,61,26
2019-06-15 07:00:00+00:00,24.1,84,58,14
2019-06-15 06:00:00+00:00,35.8,56,31,81
2019-06-15 02:00:00+00:00,33.9,82,38,18
2019-06-15 01:00:00+00:00,29.0,59,18,6
2019-06-15 00:00:00+00:00,29.6,37,92,57
2019-06-14 23:00:00+00:00,32.1,85,70,81
2019-06-14 22:00:00+00:00,35.3,95,5,92
2019-06-14 21:00:00+00:00,55.0,91,47,96
2019-06-14 20:00:00+00:00,41.9,84,43,35
2019-06-14 19:00:00+00:00,25.0,41,60,46
2019-06-14 18:00:00+00:00,19.0,1,98,57
2019-06-14 17:00:00+00:00,16.6,47,70,45
2019-06-14 16:00:00+00:00,18.9,93,62,60
2019-06-14 15:00:00+00:00,15.2,15,91,76
2019-06-14 14:00:00+00:00,14.2,56,89,70
2019-06-14 13:00:00+00:00,15.4,50,43,45
2019-06-14 12:00:00+00:00,17.1,77,26,31
2019-06-14 11:00:00+00:00,21.8,57,61,37
2019-06-14 10:00:00+00:00,25.1,37,80,84
2019-06-14 09:00:00+00:00,27.9,88,53,43
2019-06-14 08:00:00+00:00,34.3,56,78,21
2019-06-14 07:00:00+00:00,51.5,73,83,37
2019-06-14 06:00:00+00:00,64.3,54,32,18
2019-06-14 05:00:00+00:00,49.3,50,90,99
2019-06-14 04:00:00+00:00,37.9,40,40,27
2019-06-14 03:00:00+00:00,48.5,9,35,44
2019-06-14 02:00:00+00:00,66.6,94,33,73
2019-06-14 01:00:00+00:00,68.1,61,72,86
2019-06-14 00:00:00+00:00,74.2,12,14,95
2019-06-13 23:00:00+00:00,78.3,27,6,44
2019-06-13 22:00:00+00:00,77.9,83,28,47
2019-06-13 21:00:00+00:00,58.8,58,23,66
2019-06-13 20:00:00+00:00,31.5,70,48,3
2019-06-13 19:00:00+00:00,27.5,55,5,58
2019-06-13 18:00:00+00:00,24.0,38,15,6
2019-06-13 17:00:00+00:00,38.2,14,24,59
2019-06-13 16:00:00+00:00,36.1,1,15,86
2019-06-13 15:00:00+00:00,28.8,89,21,94
2019-06-13 14:00:00+00:00,19.4,87,48,41
2019-06-13 13:00:00+00:00,18.2,20,92,96
2019-06-13 12:00:00+00:00,17.9,28,24,41
2019-06-13 11:00:00+00:00,22.7,70,47,47
2019-06-13 10:00:00+00:00,24.5,86,0,30
2019-06-13 09:00:00+00:00,30.2,65,6,69
2019-06-13 08:00:00+00:00,35.3,69,84,29
2019-06-13 07:00:00+00:00,40.9,45,2,70
2019-06-13 06:00:00+00:00,39.8,13,8,93
2019-06-13 05:00:00+00:00,37.0,13,57,46
2019-06-13 04:00:00+00:00,24.6,15,35,27
2019-06-13 03:00:00+00:00,18.8,99,93,4
2019-06-13 02:00:00+00:00,18.0,58,89,78
2019-06-13 01:00:00+00:00,18.7,1,7,98
2019-06-13 00:00:00+00:00,20.0,27,78,42
2019-06-12 23:00:00+00:00,26.9,19,66,80
2019-06-12 22:00:00+00:00,25.6,85,80,35
2019-06-12 21:00:00+00:00,29.3,13,28,80
2019-06-12 20:00:00+00:00,29.2,14,25,93
2019-06-12 19:00:00+00:00,23.4,28,37,85
2019-06-12 18:00:00+00:00,25.3,21,9,30
2019-06-12 17:00:00+00:00,24.2,63,47,55
2019-06-12 16:00:00+00:00,23.6,0,33,35
2019-06-12 15:00:00+00:00,16.8,67,40,40
2019-06-12 14:00:00+00:00,20.3,84,18,59
2019-06-12 13:00:00+00:00,17.9,47,30,45
2019-06-12 12:00:00+00:00,15.4,61,32,51
2019-06-12 11:00:00+00:00,0.0,44,75,90
2019-06-12 10:00:00+00:00,0.0,82,90,89
2019-06-12 09:00:00+00:00,26.7,17,17,61
2019-06-12 08:00:00+00:00,35.5,10,4,76
2019-06-12 07:00:00+00:00,44.4,96,71,83
2019-06-12 06:00:00+00:00,38.4,36,72,23
2019-06-12 05:00:00+00:00,42.7,87,59,89
2019-06-12 04:00:00+00:00,44.9,57,16,17
2019-06-12 03:00:00+00:00,36.3,14,70,18
2019-06-12 02:00:00+00:00,34.7,81,73,33
2019-06-12 01:00:00+00:00,41.9,98,54,17
2019-06-12 00:00:00+00:00,37.2,28,13,94
2019-06-11 23:00:00+00:00,41.5,20,77,57
2019-06-11 22:00:00+00:00,59.4,76,98,73
2019-06-11 21:00:00+00:00,54.1,44,49,88
2019-06-11 20:00:00+00:00,42.7,42,72,70
2019-06-11 19:00:00+00:00,36.1,63,42,2
2019-06-11 18:00:00+00:00,44.6,30,59,80
2019-06-11 17:00:00+00:00,35.5,40,10,18
2019-06-11 16:00:00+00:00,22.6,80,78,29
2019-06-11 15:00:00+00:00,19.8,19,16,41
2019-06-11 14:00:00+00:00,16.6,66,11,94
2019-06-11 13:00:00+00:00,13.1,43,7,34
2019-06-11 12:00:00+00:00,12.6,5,53,61
2019-06-11 11:00:00+00:00,17.3,50,61,92
2019-06-11 10:00:00+00:00,22.1,69,82,98
2019-06-11 09:00:00+00:00,31.7,74,93,6
2019-06-11 08:00:00+00:00,43.6,74,10,19
2019-06-11 07:00:00+00:00,58.0,39,97,70
2019-06-11 06:00:00+00:00,55.4,25,68,39
2019-06-11 05:00:00+00:00,58.7,33,79,19
2019-06-11 04:00:00+00:00,52.7,25,32,51
2019-06-11 03:00:00+00:00,32.3,71,36,45
2019-06-11 02:00:00+00:00,29.6,89,59,81
2019-06-11 01:00:00+00:00,19.1,2,20,83
2019-06-11 00:00:00+00:00,19.6,11,41,37
2019-06-10 23:00:00+00:00,24.1,65,97,49
2019-06-10 22:00:00+00:00,24.8,67,64,20
2019-06-10 21:00:00+00:00,23.5,60,25,94
2019-06-10 20:00:00+00:00,22.6,30,84,5
2019-06-10 19:00:00+00:00,22.3,65,0,55
2019-06-10 18:00:00+00:00,18.4,76,19,62
2019-06-10 17:00:00+00:00,19.1,79,77,64
2019-06-10 16:00:00+00:00,15.1,13,81,88
2019-06-10 15:00:00+00:00,11.7,43,13,79
2019-06-10 14:00:00+00:00,9.5,51,66,89
2019-06-10 13:00:00+00:00,9.6,64,76,97
2019-06-10 12:00:00+00:00,11.7,71,69,92
2019-06-10 11:00:00+00:00,12.2,48,82,99
2019-06-10 10:00:00+00:00,14.1,85,12,69
2019-06-10 09:00:00+00:00,18.5,33,69,57
2019-06-10 08:00:00+00:00,16.9,38,31,94
2019-06-10 07:00:00+00:00,23.0,92,49,31
2019-06-10 06:00:00+00:00,26.7,32,47,49
2019-06-10 05:00:00+00:00,21.3,98,42,65
2019-06-10 04:00:00+00:00,13.7,47,16,9
2019-06-10 03:00:00+00:00,18.0,13,76,23
2019-06-10 02:00:00+00:00,17.8,27,22,73
2019-06-10 01:00:00+00:00,19.3,59,42,45
2019-06-10 00:00:00+00:00,28.1,59,81,17
2019-06-09 23:00:00+00:00,39.9,45,62,17
2019-06-09 22:00:00+00:00,37.1,32,16,99
2019-06-09 21:00:00+00:00,30.9,79,55,7
2019-06-09 20:00:00+00:00,33.2,48,11,60
2019-06-09 19:00:00+00:00,30.6,33,62,22
2019-06-09 18:00:00+00:00,19.5,36,41,85
2019-06-09 17:00:00+00:00,13.0,23,81,55
2019-06-09 16:00:00+00:00,10.3,76,21,33
2019-06-09 15:00:00+00:00,7.2,41,77,82
2019-06-09 14:00:00+00:00,7.9,85,89,25
2019-06-09 13:00:00+00:00,10.2,10,73,35
2019-06-09 12:00:00+00:00,14.6,14,92,86
2019-06-09 11:00:00+00:00,14.6,25,42,73
2019-06-09 10:00:00+00:00,16.6,63,88,96
2019-06-09 09:00:00+00:00,25.0,94,11,53
2019-06-09 08:00:00+00:00,30.2,95,7,44
2019-06-09 07:00:00+00:00,32.7,18,82,75
2019-06-09 06:00:00+00:00,36.7,75,51,29
2019-06-09 05:00:00+00:00,42.2,58,44,31
2019-06-09 04:00:00+00:00,43.0,90,21,3
2019-06-09 03:00:00+00:00,51.5,36,49,94
2019-06-09 02:00:00+00:00,51.2,12,13,58
2019-06-09 01:00:00+00:00,41.0,63,27,41
2019-06-09 00:00:00+00:00,55.9,64,54,46
2019-06-08 23:00:00+00:00,47.0,68,82,17
2019-06-08 22:00:00+00:00,34.8,99,68,9
2019-06-08 21:00:00+00:00,36.7,36,75,87
2019-06-08 18:00:00+00:00,22.0,69,95,33
2019-06-08 17:00:00+00:00,14.8,60,46,64
2019-06-08 16:00:00+00:00,14.1,48,99,31
2019-06-08 15:00:00+00:00,11.7,98,47,35
2019-06-08 14:00:00+00:00,10.3,32,89,84
2019-06-08 13:00:00+00:00,11.1,79,27,52
2019-06-08 12:00:00+00:00,9.2,46,17,2
2019-06-08 11:00:00+00:00,10.4,70,28,39
2019-06-08 10:00:00+00:00,10.3,68,82,82
2019-06-08 09:00:00+00:00,11.7,66,63,17
2019-06-08 08:00:00+00:00,13.0,12,12,83
2019-06-08 07:00:00+00:00,14.0,7,5,29
2019-06-08 06:00:00+00:00,13.8,4,77,82
2019-06-08 05:00:00+00:00,14.1,48,44,4
2019-06-08 04:00:00+00:00,10.7,50,68,51
2019-06-08 03:00:00+00:00,9.8,5,76,59
2019-06-08 02:00:00+00:00,8.4,31,11,98
2019-06-08 01:00:00+00:00,9.6,85,71,55
2019-06-08 00:00:00+00:00,11.3,16,54,34
2019-06-07 23:00:00+00:00,14.4,18,81,30
2019-06-07 22:00:00+00:00,14.7,84,72,95
2019-06-07 21:00:00+00:00,16.3,15,84,78
2019-06-07 20:00:00+00:00,19.4,15,26,68
2019-06-07 19:00:00+00:00,19.9,58,59,57
2019-06-07 18:00:00+00:00,19.1,59,47,19
2019-06-07 17:00:00+00:00,19.5,56,22,54
2019-06-07 16:00:00+00:00,19.5,3,51,42
2019-06-07 15:00:00+00:00,15.6,26,80,86
2019-06-07 14:00:00+00:00,13.1,73,66,68
2019-06-07 13:00:00+00:00,15.0,28,48,89
2019-06-07 12:00:00+00:00,17.8,18,73,22
2019-06-07 11:00:00+00:00,26.7,42,94,5
2019-06-07 10:00:00+00:00,32.1,59,67,26
2019-06-07 09:00:00+00:00,34.5,84,71,47
2019-06-07 08:00:00+00:00,29.3,42,76,0
2019-06-07 07:00:00+00:00,23.0,78,7,63
2019-06-07 06:00:00+00:00,28.9,60,52,80
2019-06-06 14:00:00+00:00,15.1,62,17,39
2019-06-06 13:00:00+00:00,16.0,34,74,81
2019-06-06 12:00:00+00:00,16.5,31,59,66
2019-06-06 11:00:00+00:00,16.4,72,26,72
2019-06-06 10:00:00+00:00,21.2,62,52,67
2019-06-06 09:00:00+00:00,26.0,30,96,93
2019-06-06 08:00:00+00:00,36.0,53,21,92
2019-06-06 07:00:00+00:00,43.1,57,28,95
2019-06-06 06:00:00+00:00,40.5,35,46,30
2019-06-06 05:00:00+00:00,40.3,48,64,84
2019-06-06 04:00:00+00:00,28.4,50,81,73
2019-06-06 03:00:00+00:00,19.2,83,11,68
2019-06-06 02:00:00+00:00,15.2,88,93,29
2019-06-06 01:00:00+00:00,18.0,31,23,13
2019-06-06 00:00:00+00:00,23.8,12,45,98
2019-06-05 23:00:00+00:00,31.8,43,6,74
2019-06-05 22:00:00+00:00,30.3,14,20,16
2019-06-05 21:00:00+00:00,33.7,75,34,4
2019-06-05 20:00:00+00:00,37.5,92,56,54
2019-06-05 19:00:00+00:00,37.8,3,6,86
2019-06-05 18:00:00+00:00,40.8,98,59,6
2019-06-05 17:00:00+00:00,48.8,61,63,30
2019-06-05 16:00:00+00:00,37.9,38,50,43
2019-06-05 15:00:00+00:00,53.5,88,32,61
2019-06-05 14:00:00+00:00,38.3,57,50,49
2019-06-05 13:00:00+00:00,33.6,43,18,95
2019-06-05 12:00:00+00:00,47.2,87,44,88
2019-06-05 11:00:00+00:00,59.0,13,4,52
2019-06-05 10:00:00+00:00,42.1,90,50,73
2019-06-05 09:00:00+00:00,36.8,21,52,44
2019-06-05 08:00:00+00:00,35.3,0,17,71
2019-06-05 07:00:00+00:00,36.9,52,54,8
2019-06-05 06:00:00+00:00,35.8,40,30,26
2019-06-05 05:00:00+00:00,39.2,77,17,53
2019-06-05 04:00:00+00:00,24.5,8,65,81
2019-06-05 03:00:00+00:00,16.2,37,10,75
2019-06-05 02:00:00+00:00,12.4,60,35,75
2019-06-05 01:00:00+00:00,10.8,26,78,75
2019-06-05 00:00:00+00:00,15.7,24,87,57
2019-06-04 23:00:00+00:00,17.8,5,20,9
2019-06-04 22:00:00+00:00,33.5,8,30,84
2019-06-04 21:00:00+00:00,26.3,31,47,72
2019-06-04 20:00:00+00:00,16.9,81,74,0
2019-06-04 19:00:00+00:00,17.0,49,77,12
2019-06-04 18:00:00+00:00,25.2,70,10,50
2019-06-04 17:00:00+00:00,23.4,53,80,88
2019-06-04 16:00:00+00:00,26.3,72,9,76
2019-06-04 15:00:00+00:00,21.5,89,33,61
2019-06-04 14:00:00+00:00,18.1,29,96,73
2019-06-04 13:00:00+00:00,17.4,42,0,37
2019-06-04 12:00:00+00:00,17.7,58,23,78
2019-06-04 11:00:00+00:00,19.6,31,26,91
2019-06-04 10:00:00+00:00,23.3,76,81,10
2019-06-04 09:00:00+00:00,38.5,57,64,10
2019-06-04 08:00:00+00:00,50.8,68,32,20
2019-06-04 07:00:00+00:00,53.5,37,50,63
2019-06-04 06:00:00+00:00,47.7,50,42,43
2019-06-04 05:00:00+00:00,36.5,3,81,81
2019-06-04 04:00:00+00:00,28.8,30,46,75
2019-06-04 03:00:00+00:00,41.6,26,40,90
2019-06-04 02:00:00+00:00,35.0,37,71,13
2019-06-04 01:00:00+00:00,43.9,97,37,36
2019-06-04 00:00:00+00:00,52.4,76,68,74
2019-06-03 23:00:00+00:00,44.6,53,49,46
2019-06-03 22:00:00+00:00,30.5,89,63,33
2019-06-03 21:00:00+00:00,31.1,9,23,1
2019-06-03 20:00:00+00:00,33.0,10,51,20
2019-06-03 19:00:00+00:00,28.9,8,9,63
2019-06-03 18:00:00+00:00,23.1,92,48,31
2019-06-03 17:00:00+00:00,24.4,18,72,72
2019-06-03 16:00:00+00:00,25.3,21,25,19
2019-06-03 15:00:00+00:00,24.8,30,40,39
2019-06-03 14:00:00+00:00,23.2,18,17,67
2019-06-03 13:00:00+00:00,25.8,42,82,99
2019-06-03 12:00:00+00:00,22.1,68,91,79
2019-06-03 11:00:00+00:00,27.5,43,57,27
2019-06-03 10:00:00+00:00,31.7,37,92,78
2019-06-03 09:00:00+00:00,46.0,57,26,9
2019-06-03 08:00:00+00:00,43.9,56,79,20
2019-06-03 07:00:00+00:00,50.0,63,44,29
2019-06-03 06:00:00+00:00,44.1,86,61,69
2019-06-03 05:00:00+00:00,29.0,50,7,60
2019-06-03 04:00:00+00:00,11.4,53,88,77
2019-06-03 03:00:00+00:00,9.8,74,33,42
2019-06-03 02:00:00+00:00,11.7,34,32,66
2019-06-03 01:00:00+00:00,11.8,68,44,61
2019-06-03 00:00:00+00:00,15.7,70,89,0
2019-06-02 23:00:00+00:00,17.9,78,46,99
2019-06-02 22:00:00+00:00,27.6,99,53,86
2019-06-02 21:00:00+00:00,36.9,32,52,20
2019-06-02 20:00:00+00:00,40.9,39,10,48
2019-06-02 19:00:00+00:00,25.8,54,72,75
2019-06-02 18:00:00+00:00,15.6,11,64,63
2019-06-02 17:00:00+00:00,14.4,78,52,59
2019-06-02 16:00:00+00:00,14.4,1,72,89
2019-06-02 15:00:00+00:00,13.9,62,82,4
2019-06-02 14:00:00+00:00,15.0,7,26,46
2019-06-02 13:00:00+00:00,13.0,82,80,29
2019-06-02 12:00:00+00:00,11.5,57,24,72
2019-06-02 11:00:00+00:00,13.1,11,52,33
2019-06-02 10:00:00+00:00,18.1,43,27,99
2019-06-02 09:00:00+00:00,21.0,66,10,13
2019-06-02 08:00:00+00:00,19.5,63,90,27
2019-06-02 07:00:00+00:00,18.1,4,92,70
2019-06-02 06:00:00+00:00,24.1,93,6,43
2019-06-02 05:00:00+00:00,37.2,55,68,84
2019-06-02 04:00:00+00:00,24.5,25,75,91
2019-06-02 03:00:00+00:00,23.2,44,8,0
2019-06-02 02:00:00+00:00,39.2,82,3,92
2019-06-02 01:00:00+00:00,38.2,70,2,64
2019-06-02 00:00:00+00:00,38.1,74,64,4
2019-06-01 23:00:00+00:00,32.7,61,64,73
2019-06-01 22:00:00+00:00,48.1,38,65,91
2019-06-01 21:00:00+00:00,49.4,30,64,96
2019-06-01 20:00:00+00:00,43.6,55,24,21
2019-06-01 19:00:00+00:00,24.6,45,43,98
2019-06-01 18:00:00+00:00,14.5,26,95,91
2019-06-01 17:00:00+00:00,11.8,71,53,49
2019-06-01 16:00:00+00:00,11.8,29,3,50
2019-06-01 15:00:00+00:00,10.2,94,49,87
2019-06-01 14:00:00+00:00,10.0,85,21,85
2019-06-01 13:00:00+00:00,10.2,88,57,32
2019-06-01 12:00:00+00:00,10.4,41,86,40
2019-06-01 11:00:00+00:00,12.2,35,62,79
2019-06-01 10:00:00+00:00,13.8,31,65,21
2019-06-01 09:00:00+00:00,23.9,45,73,51
2019-06-01 08:00:00+00:00,33.3,18,50,3
2019-06-01 07:00:00+00:00,46.4,47,78,4
2019-06-01 06:00:00+00:00,44.6,26,87,51
2019-06-01 02:00:00+00:00,68.1,80,29,35
2019-06-01 01:00:00+00:00,74.8,77,94,33
2019-06-01 00:00:00+00:00,84.7,43,92,86
2019-05-31 23:00:00+00:00,81.7,36,97,18
2019-05-31 22:00:00+00:00,68.0,52,71,10
2019-05-31 21:00:00+00:00,60.2,67,29,58
2019-05-31 20:00:00+00:00,37.0,25,84,3
2019-05-31 19:00:00+00:00,23.3,61,58,96
2019-05-31 18:00:00+00:00,25.2,53,49,51
2019-05-31 17:00:00+00:00,20.5,72,6,13
2019-05-31 16:00:00+00:00,16.3,77,96,46
2019-05-31 15:00:00+00:00,15.4,79,42,98
2019-05-31 14:00:00+00:00,15.4,49,81,67
2019-05-31 13:00:00+00:00,13.8,71,60,79
2019-05-31 12:00:00+00:00,13.3,17,44,77
2019-05-31 11:00:00+00:00,15.1,57,27,18
2019-05-31 10:00:00+00:00,17.2,51,4,31
2019-05-31 09:00:00+00:00,19.6,69,19,99
2019-05-31 08:00:00+00:00,36.6,42,62,78
2019-05-31 07:00:00+00:00,47.4,51,41,26
2019-05-31 06:00:00+00:00,38.6,93,54,8
2019-05-31 05:00:00+00:00,37.2,95,52,9
2019-05-31 04:00:00+00:00,31.1,49,64,5
2019-05-31 03:00:00+00:00,40.1,38,93,48
2019-05-31 02:00:00+00:00,44.1,24,44,26
2019-05-31 01:00:00+00:00,36.9,36,54,4
2019-05-31 00:00:00+00:00,27.2,44,55,61
2019-05-30 23:00:00+00:00,29.6,28,70,24
2019-05-30 22:00:00+00:00,27.0,60,57,21
2019-05-30 21:00:00+00:00,26.9,57,63,96
2019-05-30 20:00:00+00:00,21.9,67,53,55
2019-05-30 19:00:00+00:00,22.9,27,11,0
2019-05-30 18:00:00+00:00,22.1,91,34,93
2019-05-30 17:00:00+00:00,20.4,93,54,10
2019-05-30 16:00:00+00:00,12.8,30,68,92
2019-05-30 15:00:00+00:00,13.0,42,99,57
2019-05-30 14:00:00+00:00,14.9,68,14,41
2019-05-30 13:00:00+00:00,16.1,54,75,93
2019-05-30 12:00:00+00:00,14.2,48,74,24
2019-05-30 11:00:00+00:00,14.9,27,73,48
2019-05-30 10:00:00+00:00,13.8,22,40,48
2019-05-30 09:00:00+00:00,15.1,96,83,60
2019-05-30 08:00:00+00:00,16.7,90,2,38
2019-05-30 07:00:00+00:00,18.3,83,1,65
2019-05-30 06:00:00+00:00,13.3,20,13,33
2019-05-30 05:00:00+00:00,12.2,75,53,10
2019-05-30 04:00:00+00:00,10.4,12,16,88
2019-05-30 03:00:00+00:00,10.6,42,70,93
2019-05-30 02:00:00+00:00,9.4,28,23,52
2019-05-30 01:00:00+00:00,12.4,55,95,5
2019-05-30 00:00:00+00:00,19.4,18,4,54
2019-05-29 23:00:00+00:00,19.9,4,60,94
2019-05-29 22:00:00+00:00,19.0,26,59,58
2019-05-29 21:00:00+00:00,16.9,67,72,64
2019-05-29 20:00:00+00:00,20.8,44,69,39
2019-05-29 19:00:00+00:00,24.1,34,31,47
2019-05-29 18:00:00+00:00,25.3,13,7,32
2019-05-29 17:00:00+00:00,22.9,11,69,82
2019-05-29 16:00:00+00:00,20.1,57,48,23
2019-05-29 15:00:00+00:00,0.0,39,14,13
2019-05-29 14:00:00+00:00,0.0,74,53,6
2019-05-29 13:00:00+00:00,17.8,12,98,96
2019-05-29 12:00:00+00:00,13.2,23,34,71
2019-05-29 11:00:00+00:00,22.0,84,77,70
2019-05-29 10:00:00+00:00,30.7,37,27,16
2019-05-29 09:00:00+00:00,34.5,28,45,34
2019-05-29 08:00:00+00:00,45.7,6,13,69
2019-05-29 07:00:00+00:00,50.5,99,47,69
2019-05-29 06:00:00+00:00,46.5,58,65,61
2019-05-29 05:00:00+00:00,36.7,99,36,6
2019-05-29 04:00:00+00:00,24.1,96,83,5
2019-05-29 03:00:00+00:00,20.3,1,13,57
2019-05-29 02:00:00+00:00,19.0,8,50,84
2019-05-29 01:00:00+00:00,21.6,44,30,95
2019-05-29 00:00:00+00:00,23.4,38,90,35
2019-05-28 23:00:00+00:00,25.3,50,12,41
2019-05-28 22:00:00+00:00,20.2,9,44,44
2019-05-28 21:00:00+00:00,20.4,67,23,73
2019-05-28 20:00:00+00:00,20.4,66,62,50
2019-05-28 19:00:00+00:00,18.5,73,53,45
2019-05-28 18:00:00+00:00,16.2,75,21,54
2019-05-28 17:00:00+00:00,20.8,35,59,36
2019-05-28 16:00:00+00:00,26.5,31,35,55
2019-05-28 15:00:00+00:00,25.0,26,27,58
2019-05-28 14:00:00+00:00,18.8,35,34,32
2019-05-28 13:00:00+00:00,18.5,30,94,52
2019-05-28 12:00:00+00:00,24.8,41,16,53
2019-05-28 11:00:00+00:00,20.5,6,97,95
2019-05-28 10:00:00+00:00,21.6,24,44,48
2019-05-28 09:00:00+00:00,24.3,44,5,76
2019-05-28 08:00:00+00:00,31.2,6,56,18
